K,Random State,Accuracy,F1 Score,Recall,Confusion Matrix
3,42,0.9932617918642376,0.993305231837342,0.9995009980039921,"[[1977   26]
 [   1 2003]]"
3,84,0.9937609183928126,0.9936852740591058,0.9989842559674962,"[[2015   23]
 [   2 1967]]"
4,42,0.9942600449213875,0.994288552272163,0.999001996007984,"[[1982   21]
 [   2 2002]]"
4,84,0.9940104816571,0.9939301972685888,0.9979685119349924,"[[2018   20]
 [   4 1965]]"
5,42,0.9937609183928126,0.9938011405901315,1.0,"[[1978   25]
 [   0 2004]]"
5,84,0.9932617918642376,0.9931835395102246,0.9989842559674962,"[[2013   25]
 [   2 1967]]"
6,42,0.9937609183928126,0.9937980649962789,0.9995009980039921,"[[1979   24]
 [   1 2003]]"
6,84,0.9937609183928126,0.9936852740591058,0.9989842559674962,"[[2015   23]
 [   2 1967]]"
